source,target,weight
dailytelegraph.com.au,theaustralian.com.au,29.1
therightscoop.com,twitchy.com,15.7
oann.com,thegatewaypundit.com,13.1
salon.com,slate.com,13.9
bizpacreview.com,twitchy.com,20.5
freedomoutpost.com,bigleaguepolitics.com,3.2
newswithviews.com,americanthinker.com,8.1
wral.com,newsobserver.com,36.4
thesun.co.uk,mirror.co.uk,39.0
scotsman.com,dailyrecord.co.uk,19.0
fairus.org,cis.org,21.8
ricochet.com,amgreatness.com,11.1
mondoweiss.net,middleeastmonitor.com,5.0
alphanewsmn.com,bluestemprairie.com,3.6
informationliberation.com,canadafreepress.com,19.2
sun-sentinel.com,tampabay.com,17.9
independent.co.uk,theguardian.com,30.5
rawstory.com,dailykos.com,16.8
independentsentinel.com,libertyunyielding.com,25.9
pacificpundit.com,70news.wordpress.com,6.0
weaselzippers.us,therightscoop.com,16.3
conservativefiringline.com,bizpacreview.com,3.1
newser.com,redstate.com,6.4
truth-out.org,inthesetimes.com,1.4
techcrunch.com,theverge.com,37.0
theintercept.com,nationalreview.com,13.2
dailysabah.com,al-monitor.com,14.6
nypost.com,usatoday.com,33.5
againstcronycapitalism.org,againstcronycapitalism.org,0.5
currentaffairs.org,newrepublic.com,3.3
conservativedailypost.com,independentsentinel.com,2.3
newstatesman.com,newrepublic.com,4.9
rollcall.com,washingtonexaminer.com,10.5
libertynation.com,libertyunyielding.com,36.4
libertyheadlines.com,conservativedailypost.com,1.9
thesun.co.uk,metro.co.uk,31.1
al-monitor.com,dailysabah.com,14.7
teaparty.org,teapartypatriots.org,5.4
occupydemocrats.com,washingtonpress.com,25.5
nypost.com,thehill.com,31.3
theamericanmirror.com,americanthinker.com,6.0
electronicintifada.net,mondoweiss.net,11.5
msnbc.com,realclearpolitics.com,19.9
ozy.com,ozy.com,0.5
stonecoldtruth.com,bigleaguepolitics.com,4.8
orlandosentinel.com,sun-sentinel.com,19.4
dailysignal.com,freebeacon.com,13.9
globalnews.ca,ctvnews.ca,60.1
dailymail.co.uk,independent.co.uk,30.2
lewrockwell.com,mises.org,8.6
azcentral.com,phoenixnewtimes.com,9.9
washingtonpress.com,occupydemocrats.com,25.5
breitbart.com,dailywire.com,23.2
breitbart.com,dailycaller.com,27.7
usatoday.com,businessinsider.com,37.2
opendemocracy.net,newstatesman.com,4.5
kentucky.com,courier-journal.com,23.3
9news.com.au,news.com.au,25.5
samuel-warde.com,resistancereport.com,2.3
breitbart.com,washingtonexaminer.com,22.0
timesofindia.indiatimes.com,hindustantimes.com,49.4
euractiv.com,euobserver.com,17.0
sojo.net,christianitytoday.com,6.0
mediazone.news,mediazone.news,0.5
timesofisrael.com,forward.com,17.7
progresstribune.com,hillarybeattrump.org,1.5
vice.com,vox.com,17.0
